,T,Chosen,Candidates,From,Delay,Data,size,,,,,,,,,,,,,
84s,25,55,31,25,43,37,55,61,55,0.392949,0.6,25,0.69464,0.6,,,,,,
85s,31,55,31,25,43,37,55,61,55,0.391255,0.6,31,0.601763,0.6,,,,,,
86s,43,37,31,25,43,37,55,61,43,0.533054,0.6,37,0.681473,0.6,,,,,,
87s,25,55,31,25,43,37,55,61,55,0.336799,0.6,25,0.671381,0.6,,,,,,
88s,31,55,31,25,43,37,55,61,55,0.414971,0.6,,,,,,,,,
89s,31,43,31,25,43,37,55,61,31,1.13502,0.6,43,0.808358,0.6,,,,,,
90s,37,55,31,25,43,37,55,61,31,1.11906,0.6,55,0.44697,0.6,37,0.718317,0.6,,,
91s,25,55,31,25,43,37,55,61,55,0.356609,0.6,25,0.710482,0.6,,,,,,
92s,43,37,31,25,43,37,55,61,43,0.518422,0.6,37,0.538142,0.6,,,,,,
93s,55,61,31,25,43,37,55,61,55,0.396652,0.6,61,0.532786,0.6,,,,,,
94s,25,55,31,25,43,37,55,61,55,0.365703,0.6,25,0.719004,0.6,,,,,,
95s,31,55,31,25,43,37,55,61,55,0.501259,0.6,,,,,,,,,
96s,31,43,31,25,43,37,55,61,31,1.19932,0.6,43,0.446205,0.6,31,0.669076,0.6,,,
97s,55,61,31,25,43,37,55,61,55,0.534283,0.6,61,0.546476,0.6,,,,,,
98s,43,37,31,25,43,37,55,61,43,0.466634,0.6,37,0.899374,0.6,,,,,,
99s,25,55,31,25,43,37,55,61,55,0.576588,0.6,,,,,,,,,
100s,25,55,31,25,43,37,55,61,25,1.10194,0.6,55,0.566468,0.6,,,,,,
101s,43,37,31,25,43,37,55,61,25,1.13482,0.6,43,0.495492,0.6,37,0.598762,0.6,,,
102s,55,61,31,25,43,37,55,61,55,0.451781,0.6,61,0.454214,0.6,,,,,,
103s,31,43,31,25,43,37,55,61,43,0.446993,0.6,31,0.684658,0.6,,,,,,
104s,55,61,31,25,43,37,55,61,55,0.586616,0.6,61,0.700222,0.6,,,,,,
105s,43,37,31,25,43,37,55,61,43,0.375818,0.6,37,0.819285,0.6,,,,,,
106s,25,43,31,25,43,37,55,61,25,0.625824,0.6,43,0.697205,0.6,,,,,,
107s,31,55,31,25,43,37,55,61,55,0.304072,0.6,31,0.740663,0.6,,,,,,
108s,55,61,31,25,43,37,55,61,55,0.414964,0.6,61,0.464674,0.6,,,,,,
109s,37,55,31,25,43,37,55,61,55,0.439776,0.6,37,0.573038,0.6,,,,,,
110s,25,43,31,25,43,37,55,61,25,0.54979,0.6,43,0.565752,0.6,,,,,,
111s,31,55,31,25,43,37,55,61,55,0.434583,0.6,,,,,,,,,
112s,31,55,31,25,43,37,55,61,31,1.1518,0.6,55,0.473563,0.6,31,0.626429,0.6,,,
113s,43,61,31,25,43,37,55,61,61,0.426696,0.6,43,0.726682,0.6,,,,,,
114s,37,55,31,25,43,37,55,61,55,0.514739,0.6,37,0.767093,0.6,,,,,,
115s,25,55,31,25,43,37,55,61,55,0.464703,0.6,25,0.845712,0.6,,,,,,
116s,43,61,31,25,43,37,55,61,61,0.521541,0.6,43,0.792074,0.6,,,,,,
117s,37,55,31,25,43,37,55,61,55,0.379891,0.6,37,0.65874,0.6,,,,,,
118s,25,55,31,25,43,37,55,61,55,0.357148,0.6,25,0.655173,0.6,,,,,,
119s,31,55,31,25,43,37,55,61,55,0.403983,0.6,31,0.799213,0.6,,,,,,
120s,43,61,31,25,43,37,55,61,43,0.40912,0.6,61,0.462457,0.6,,,,,,
121s,37,55,31,25,43,37,55,61,55,0.372527,0.6,37,0.497182,0.6,,,,,,
122s,25,55,31,25,43,37,55,61,55,0.33837,0.6,25,0.706153,0.6,,,,,,
123s,31,55,31,25,43,37,55,61,55,0.407258,0.6,,,,,,,,,
124s,31,43,31,25,43,37,55,61,31,1.12283,0.6,43,0.484727,0.6,31,0.659264,0.6,,,
125s,55,61,31,25,43,37,55,61,55,0.548684,0.6,61,0.646222,0.6,,,,,,
126s,43,37,31,25,43,37,55,61,37,0.478396,0.6,43,0.616584,0.6,,,,,,
127s,25,55,31,25,43,37,55,61,55,0.40049,0.6,25,0.634906,0.6,,,,,,
128s,7,31,31,25,43,37,55,61,7,7,0.669281,0.6,,,,,,,,
129s,55,7,31,25,43,37,55,61,7,31,1.15567,0.6,55,0.444553,0.6,7,0.613941,0.6,,
130s,55,7,31,25,43,37,55,61,7,55,0.648794,0.6,7,0.668006,0.6,,,,,
131s,43,7,31,25,43,37,55,61,7,43,0.388202,0.6,7,0.673719,0.6,,,,,
132s,43,7,31,25,43,37,55,61,7,43,0.418108,0.6,,,,,,,,
133s,43,7,31,25,43,37,55,61,7,7,1.39504,0.6,43,0.432793,0.6,,,,,
134s,55,7,31,25,43,37,55,61,7,55,0.614438,0.6,7,1.66741,0.6,,,,,
135s,43,7,31,25,43,37,55,61,7,7,1.41859,0.6,43,0.48536,0.6,,,,,
136s,55,7,31,25,43,37,55,61,7,55,0.300481,0.6,7,1.6456,0.6,,,,,
137s,55,7,31,25,43,37,55,61,7,7,1.19318,0.6,55,0.345343,0.6,7,0.76489,0.6,,
138s,55,7,31,25,43,37,55,61,7,55,0.378321,0.6,7,0.921597,0.6,,,,,
139s,85,31,31,25,43,37,55,61,7,85,85,0.833896,0.6,,,,,,,
140s,37,61,31,25,43,37,55,61,7,85,31,1.01943,0.6,37,0.463928,0.6,61,0.561206,0.6,
141s,55,85,31,25,43,37,55,61,7,85,55,0.312007,0.6,85,0.984976,0.6,,,,
142s,55,85,31,25,43,37,55,61,7,85,55,0.463477,0.6,,,,,,,
143s,43,85,31,25,43,37,55,61,7,85,85,1.00874,0.6,43,0.442716,0.6,,,,
144s,55,85,31,25,43,37,55,61,7,85,85,1.05309,0.6,55,0.498177,0.6,85,0.759549,0.6,
145s,43,85,31,25,43,37,55,61,7,85,43,0.596597,0.6,85,0.609792,0.6,,,,
146s,55,85,31,25,43,37,55,61,7,85,55,0.345416,0.6,85,0.818389,0.6,,,,
147s,55,85,31,25,43,37,55,61,7,85,55,0.606805,0.6,85,0.718345,0.6,,,,
148s,55,7,31,25,43,37,55,61,7,85,55,0.336637,0.6,7,0.702091,0.6,,,,
149s,55,85,31,25,43,37,55,61,7,85,55,0.528,0.6,,,,,,,
150s,43,85,31,25,43,37,55,61,7,85,85,1.16325,0.6,43,0.373715,0.6,,,,
151s,43,85,31,25,43,37,55,61,7,85,85,1.24631,0.6,43,0.687743,0.6,85,0.849998,0.6,
152s,55,7,31,25,43,37,55,61,7,85,55,0.433007,0.6,7,0.977001,0.6,,,,
153s,61,7,31,25,43,37,55,61,7,85,61,0.7553,0.6,7,0.887398,0.6,,,,
154s,79,31,31,25,43,37,55,61,7,85,79,79,0.476949,0.6,,,,,,
155s,55,85,31,25,43,37,55,61,7,85,79,55,0.519895,0.6,,,,,,
156s,85,79,31,25,43,37,55,61,7,85,79,79,0.583386,0.6,,,,,,
157s,85,79,43,37,55,61,7,85,79,85,1.0131,0.6,79,0.512291,0.6,85,0.660775,0.6,,
158s,7,79,43,37,55,61,7,85,79,79,0.558391,0.6,7,0.941634,0.6,,,,,
159s,37,79,43,37,55,61,7,85,79,37,0.469858,0.6,79,0.624076,0.6,,,,,
160s,85,79,43,37,55,61,7,85,79,79,0.415611,0.6,85,0.930089,0.6,,,,,
161s,7,79,43,37,55,61,7,85,79,79,0.629357,0.6,7,0.847112,0.6,,,,,
162s,61,79,43,37,55,61,7,85,79,61,0.617074,0.6,79,0.745007,0.6,,,,,
163s,37,79,43,37,55,61,7,85,79,37,0.521688,0.6,79,0.523186,0.6,,,,,
164s,85,79,43,37,55,61,7,85,79,79,0.397205,0.6,,,,,,,,
165s,85,79,43,37,55,61,7,85,79,85,1.05098,0.6,79,0.657949,0.6,,,,,
166s,61,79,43,37,55,61,7,85,79,85,1.13538,0.6,79,0.431147,0.6,61,0.880082,0.6,,
167s,7,79,43,37,55,61,7,85,79,79,0.601718,0.6,,,,,,,,
168s,7,79,43,37,55,61,7,85,79,7,1.04647,0.6,79,0.517057,0.6,7,0.925903,0.6,,
169s,37,79,43,37,55,61,7,85,79,37,0.715203,0.6,79,0.792761,0.6,,,,,
170s,43,85,43,37,55,61,7,85,79,43,0.519367,0.6,85,0.937383,0.6,,,,,
171s,61,79,43,37,55,61,7,85,79,79,0.564265,0.6,61,0.822469,0.6,,,,,
172s,55,7,43,37,55,61,7,85,79,55,0.346441,0.6,7,0.709984,0.6,,,,,
173s,55,85,43,37,55,61,7,85,79,55,0.524017,0.6,85,0.945638,0.6,,,,,
174s,37,79,43,37,55,61,7,85,79,79,0.591856,0.6,37,0.715107,0.6,,,,,
175s,55,7,43,37,55,61,7,85,79,55,0.354903,0.6,7,0.932761,0.6,,,,,
176s,43,61,43,37,55,61,7,85,79,61,0.503162,0.6,43,0.505623,0.6,,,,,
177s,55,85,43,37,55,61,7,85,79,55,0.50985,0.6,,,,,,,,
178s,37,79,43,37,55,61,7,85,79,85,1.27926,0.6,79,0.467069,0.6,37,0.570248,0.6,,
179s,55,7,43,37,55,61,7,85,79,55,0.453857,0.6,7,0.696604,0.6,,,,,
180s,43,79,43,37,55,61,7,85,79,43,0.509953,0.6,79,0.664171,0.6,,,,,
181s,55,85,43,37,55,61,7,85,79,55,0.559097,0.6,85,0.834247,0.6,,,,,
182s,43,61,43,37,55,61,7,85,79,43,0.42143,0.6,61,0.478615,0.6,,,,,
183s,37,79,43,37,55,61,7,85,79,37,0.453795,0.6,79,0.609418,0.6,,,,,
184s,55,7,43,37,55,61,7,85,79,55,0.355059,0.6,7,0.952223,0.6,,,,,
185s,55,85,43,37,55,61,7,85,79,55,0.44297,0.6,85,0.962941,0.6,,,,,
186s,43,61,43,37,55,61,7,85,79,61,0.586045,0.6,43,0.636251,0.6,,,,,
187s,37,79,43,37,55,61,7,85,79,79,0.537921,0.6,37,0.659092,0.6,,,,,
188s,55,7,43,37,55,61,7,85,79,55,0.306255,0.6,7,0.943229,0.6,,,,,
189s,55,85,43,37,55,61,7,85,79,55,0.496057,0.6,,,,,,,,
190s,55,85,43,37,55,61,7,85,79,85,1.12483,0.6,55,0.318471,0.6,85,0.910545,0.6,,
191s,55,61,43,37,55,61,7,85,79,55,0.339949,0.6,61,0.582787,0.6,,,,,
192s,55,7,43,37,55,61,7,85,79,55,0.353325,0.6,7,0.670029,0.6,,,,,
193s,43,79,43,37,55,61,7,85,79,43,0.427389,0.6,79,0.492614,0.6,,,,,
194s,37,55,43,37,55,61,7,85,79,55,0.361371,0.6,37,0.879385,0.6,,,,,
195s,115,43,43,37,55,61,7,85,79,115,115,0.53583,0.6,43,0.617183,0.6,,,,
196s,55,61,43,37,55,61,7,85,79,115,55,0.386902,0.6,61,0.474664,0.6,,,,
197s,55,115,43,37,55,61,7,85,79,115,55,0.301598,0.6,115,0.646564,0.6,,,,
198s,55,115,43,37,55,61,7,85,79,115,55,0.396317,0.6,115,0.448263,0.6,,,,
199s,7,115,43,37,55,61,7,85,79,115,115,0.359428,0.6,7,0.68427,0.6,,,,
200s,85,115,43,37,55,61,7,85,79,115,115,0.41141,0.6,85,0.854987,0.6,,,,
201s,79,115,43,37,55,61,7,85,79,115,115,0.362076,0.6,79,0.455429,0.6,,,,
202s,37,115,43,37,55,61,7,85,79,115,115,0.617281,0.6,37,0.660023,0.6,,,,
203s,85,115,43,37,55,61,7,85,79,115,115,0.478533,0.6,85,0.823856,0.6,,,,
204s,7,115,43,37,55,61,7,85,79,115,115,0.608436,0.6,,,,,,,
205s,79,115,43,37,55,61,7,85,79,115,7,1.38629,0.6,115,0.446312,0.6,79,0.79358,0.6,
206s,61,115,43,37,55,61,7,85,79,115,115,0.316916,0.6,61,0.508027,0.6,,,,
207s,37,115,43,37,55,61,7,85,79,115,115,0.463548,0.6,37,0.464169,0.6,,,,
208s,79,115,43,37,55,61,7,85,79,115,115,0.390169,0.6,79,0.719706,0.6,,,,
209s,85,115,43,37,55,61,7,85,79,115,115,0.396518,0.6,85,0.646104,0.6,,,,
210s,7,115,43,37,55,61,7,85,79,115,115,0.571179,0.6,7,0.96216,0.6,,,,
211s,61,115,43,37,55,61,7,85,79,115,115,0.402861,0.6,61,0.596715,0.6,,,,
212s,37,115,43,37,55,61,7,85,79,115,115,0.328248,0.6,37,0.694859,0.6,,,,
213s,85,115,43,37,55,61,7,85,79,115,115,0.628722,0.6,,,,,,,
214s,79,115,43,37,55,61,7,85,79,115,85,1.11109,0.6,115,0.389539,0.6,79,0.565337,0.6,
215s,7,115,43,37,55,61,7,85,79,115,115,0.417851,0.6,7,0.941062,0.6,,,,
216s,61,115,43,37,55,61,7,85,79,115,115,0.427439,0.6,61,0.699293,0.6,,,,
217s,37,115,43,37,55,61,7,85,79,115,37,0.518397,0.6,115,0.558397,0.6,,,,
218s,79,115,43,37,55,61,7,85,79,115,115,0.357215,0.6,79,0.5502,0.6,,,,
219s,85,115,43,37,55,61,7,85,79,115,115,0.456811,0.6,85,0.702496,0.6,,,,
220s,7,115,43,37,55,61,7,85,79,115,115,0.378308,0.6,7,0.725991,0.6,,,,
221s,61,115,43,37,55,61,7,85,79,115,115,0.330074,0.6,61,0.455899,0.6,,,,
222s,37,115,43,37,55,61,7,85,79,115,115,0.312127,0.6,37,0.728762,0.6,,,,
223s,79,115,43,37,55,61,7,85,79,115,115,0.393214,0.6,79,0.790103,0.6,,,,
224s,85,115,43,37,55,61,7,85,79,115,115,0.420486,0.6,,,,,,,
225s,85,115,43,37,55,61,7,85,79,115,85,1.23687,0.6,115,0.413391,0.6,,,,
226s,7,115,43,37,55,61,7,85,79,115,85,1.0267,0.6,115,0.456716,0.6,7,0.724372,0.6,
227s,61,115,43,37,55,61,7,85,79,115,115,0.613744,0.6,61,0.906609,0.6,,,,
228s,79,115,43,37,55,61,7,85,79,115,115,0.496606,0.6,79,0.503574,0.6,,,,
229s,37,115,43,37,55,61,7,85,79,115,37,0.636286,0.6,115,0.645944,0.6,,,,
230s,7,115,43,37,55,61,7,85,79,115,115,0.518705,0.6,,,,,,,
231s,7,115,43,37,55,61,7,85,79,115,7,1.01457,0.6,115,0.623169,0.6,,,,
232s,79,115,43,37,55,61,7,85,79,115,7,1.2978,0.6,115,0.434471,0.6,79,0.492385,0.6,
233s,61,115,43,37,55,61,7,85,79,115,115,0.398737,0.6,61,0.709942,0.6,,,,
234s,37,115,43,37,55,61,7,85,79,115,115,0.490206,0.6,37,0.594776,0.6,,,,
235s,85,115,43,37,55,61,7,85,79,115,115,0.364445,0.6,85,0.934849,0.6,,,,
236s,79,115,43,37,55,61,7,85,79,115,79,0.491777,0.6,115,0.506193,0.6,,,,
237s,55,61,43,37,55,61,7,85,79,115,61,0.498915,0.6,55,0.597013,0.6,,,,
238s,85,115,43,37,55,61,7,85,79,115,115,0.435385,0.6,85,0.72384,0.6,,,,
239s,37,55,43,37,55,61,7,85,79,115,55,0.364821,0.6,37,0.896607,0.6,,,,
240s,43,79,43,37,55,61,7,85,79,115,43,0.513668,0.6,79,0.635859,0.6,,,,
241s,7,115,43,37,55,61,7,85,79,115,115,0.579699,0.6,7,0.944078,0.6,,,,
242s,55,61,43,37,55,61,7,85,79,115,61,0.583087,0.6,55,0.666951,0.6,,,,
243s,85,115,43,37,55,61,7,85,79,115,115,0.502919,0.6,85,0.869432,0.6,,,,
244s,37,55,43,37,55,61,7,85,79,115,55,0.470179,0.6,37,0.681752,0.6,,,,
245s,43,79,43,37,55,61,7,85,79,115,43,0.386939,0.6,79,0.525611,0.6,,,,
246s,55,7,43,37,55,61,7,85,79,115,55,0.434123,0.6,,,,,,,
247s,7,115,43,37,55,61,7,85,79,115,7,1.09386,0.6,115,0.532794,0.6,7,0.723268,0.6,
248s,43,79,43,37,55,61,7,85,79,115,79,0.442998,0.6,43,0.452566,0.6,,,,
249s,55,85,43,37,55,61,7,85,79,115,55,0.662943,0.6,85,0.800665,0.6,,,,
250s,61,115,43,37,55,61,7,85,79,115,115,0.319949,0.6,61,0.730422,0.6,,,,
251s,37,115,43,37,55,61,7,85,79,115,115,0.397033,0.6,37,0.553564,0.6,,,,
252s,43,115,43,37,55,61,7,85,79,115,115,0.407656,0.6,43,0.588421,0.6,,,,
253s,79,115,43,37,55,61,7,85,79,115,115,0.562288,0.6,79,0.859304,0.6,,,,
254s,55,85,43,37,55,61,7,85,79,115,55,0.374237,0.6,85,0.74319,0.6,,,,
255s,55,61,43,37,55,61,7,85,79,115,55,0.299844,0.6,61,0.547947,0.6,,,,
256s,37,55,43,37,55,61,7,85,79,115,55,0.304603,0.6,37,0.58453,0.6,,,,
257s,55,7,43,37,55,61,7,85,79,115,55,0.501597,0.6,7,0.642476,0.6,,,,
258s,55,85,43,37,55,61,7,85,79,115,55,0.543682,0.6,85,0.983175,0.6,,,,
259s,43,115,43,37,55,61,7,85,79,115,115,0.372111,0.6,43,0.759914,0.6,,,,
260s,79,115,43,37,55,61,7,85,79,115,115,0.332333,0.6,79,0.91933,0.6,,,,
261s,61,115,43,37,55,61,7,85,79,115,115,0.410277,0.6,61,0.413889,0.6,,,,
262s,37,115,43,37,55,61,7,85,79,115,115,0.381753,0.6,37,0.676032,0.6,,,,
263s,7,115,43,37,55,61,7,85,79,115,115,0.638004,0.6,,,,,,,
264s,55,7,43,37,55,61,7,85,79,115,7,1.07517,0.6,55,0.61475,0.6,7,0.776832,0.6,
265s,43,115,43,37,55,61,7,85,79,115,115,0.38541,0.6,43,0.580345,0.6,,,,
266s,79,115,43,37,55,61,7,85,79,115,115,0.561352,0.6,79,0.573286,0.6,,,,
267s,55,61,43,37,55,61,7,85,79,115,55,0.499659,0.6,61,0.530857,0.6,,,,
268s,55,85,43,37,55,61,7,85,79,115,55,0.39161,0.6,85,0.828998,0.6,,,,
269s,37,55,43,37,55,61,7,85,79,115,55,0.582327,0.6,37,0.590021,0.6,,,,
270s,43,115,43,37,55,61,7,85,79,115,115,0.374847,0.6,43,0.441264,0.6,,,,
271s,79,115,43,37,55,61,7,85,79,115,115,0.589264,0.6,79,0.661895,0.6,,,,
272s,55,61,43,37,55,61,7,85,79,115,55,0.409724,0.6,61,0.415637,0.6,,,,
273s,55,85,43,37,55,61,7,85,79,115,55,0.300654,0.6,,,,,,,
274s,55,85,43,37,55,61,7,85,79,115,85,1.06356,0.6,55,0.514715,0.6,,,,
275s,43,115,43,37,55,61,7,85,79,115,85,1.01235,0.6,43,0.373617,0.6,115,0.411822,0.6,
276s,43,79,43,37,55,61,7,85,79,115,79,0.610817,0.6,43,0.629473,0.6,,,,
277s,37,115,43,37,55,61,7,85,79,115,115,0.346321,0.6,37,0.594853,0.6,,,,
278s,7,115,43,37,55,61,7,85,79,115,115,0.351727,0.6,7,0.784001,0.6,,,,
279s,61,115,43,37,55,61,7,85,79,115,115,0.45697,0.6,61,0.594144,0.6,,,,
280s,37,115,43,37,55,61,7,85,79,115,115,0.62847,0.6,37,0.8702,0.6,,,,
281s,55,7,43,37,55,61,7,85,79,115,55,0.518532,0.6,7,0.744938,0.6,,,,
282s,43,79,43,37,55,61,7,85,79,115,79,0.611046,0.6,43,0.626309,0.6,,,,
283s,61,115,43,37,55,61,7,85,79,115,115,0.412072,0.6,61,0.62202,0.6,,,,
284s,55,85,43,37,55,61,7,85,79,115,55,0.373199,0.6,85,0.704033,0.6,,,,
285s,37,55,43,37,55,61,7,85,79,115,55,0.301908,0.6,37,0.642909,0.6,,,,
286s,55,7,43,37,55,61,7,85,79,115,55,0.564402,0.6,,,,,,,
287s,79,115,43,37,55,61,7,85,79,115,7,1.17147,0.6,115,0.574119,0.6,79,0.780819,0.6,
288s,55,61,43,37,55,61,7,85,79,115,55,0.36448,0.6,61,0.816241,0.6,,,,
289s,43,115,43,37,55,61,7,85,79,115,115,0.415697,0.6,43,0.422743,0.6,,,,
290s,55,85,43,37,55,61,7,85,79,115,55,0.542203,0.6,85,0.68663,0.6,,,,
291s,43,115,43,37,55,61,7,85,79,115,115,0.399636,0.6,43,0.418344,0.6,,,,
292s,37,115,43,37,55,61,7,85,79,115,37,0.509011,0.6,115,0.624852,0.6,,,,
293s,55,79,43,37,55,61,7,85,79,115,79,0.505672,0.6,55,0.524094,0.6,,,,
294s,55,7,43,37,55,61,7,85,79,115,55,0.558137,0.6,7,0.778927,0.6,,,,
295s,43,61,43,37,55,61,7,85,79,115,43,0.490377,0.6,61,0.64423,0.6,,,,
296s,85,115,43,37,55,61,7,85,79,115,115,0.507978,0.6,,,,,,,
297s,43,79,43,37,55,61,7,85,79,115,85,1.01796,0.6,79,0.447423,0.6,43,0.533015,0.6,
298s,37,55,43,37,55,61,7,85,79,115,37,0.502624,0.6,55,0.507278,0.6,,,,
299s,7,115,43,37,55,61,7,85,79,115,115,0.365657,0.6,7,0.831471,0.6,,,,
300s,61,115,43,37,55,61,7,85,79,115,115,0.436536,0.6,61,0.558903,0.6,,,,
301s,43,79,43,37,55,61,7,85,79,115,43,0.383809,0.6,79,0.493554,0.6,,,,
302s,85,115,43,37,55,61,7,85,79,115,115,0.304126,0.6,,,,,,,
303s,85,115,43,37,55,61,7,85,79,115,85,1.28287,0.6,115,0.432429,0.6,,,,
304s,37,115,43,37,55,61,7,85,79,115,115,0.542924,0.6,85,1.61492,0.6,,,,
305s,43,79,43,37,55,61,7,85,79,115,37,1.03523,0.6,43,0.509849,0.6,79,0.864044,0.6,
306s,55,61,43,37,55,61,7,85,79,115,55,0.314268,0.6,61,0.623159,0.6,,,,
307s,55,7,43,37,55,61,7,85,79,115,55,0.563433,0.6,7,0.987339,0.6,,,,
308s,37,115,43,37,55,61,7,85,79,115,115,0.370629,0.6,37,0.897719,0.6,,,,
309s,7,115,43,37,55,61,7,85,79,115,115,0.574696,0.6,7,0.648534,0.6,,,,
310s,43,55,43,37,55,61,7,85,79,115,55,0.391246,0.6,43,0.624197,0.6,,,,
311s,55,61,43,37,55,61,7,85,79,115,55,0.324385,0.6,61,0.66991,0.6,,,,
312s,55,79,43,37,55,61,7,85,79,115,55,0.453403,0.6,79,0.472861,0.6,,,,
313s,55,85,43,37,55,61,7,85,79,115,55,0.308576,0.6,85,0.671201,0.6,,,,
314s,37,55,43,37,55,61,7,85,79,115,37,0.513946,0.6,55,0.595054,0.6,,,,
315s,7,115,43,37,55,61,7,85,79,115,115,0.629357,0.6,7,0.670409,0.6,,,,
316s,43,55,43,37,55,61,7,85,79,115,55,0.3462,0.6,43,0.39881,0.6,,,,
317s,55,79,43,37,55,61,7,85,79,115,79,0.412386,0.6,55,0.587541,0.6,,,,
318s,55,61,43,37,55,61,7,85,79,115,55,0.452946,0.6,61,0.860007,0.6,,,,
319s,43,79,43,37,55,61,7,85,79,115,79,0.447534,0.6,43,0.521684,0.6,,,,
320s,85,115,43,37,55,61,7,85,79,115,115,0.401135,0.6,,,,,,,
321s,85,115,43,37,55,61,7,85,79,115,85,1.1343,0.6,115,0.433577,0.6,,,,
322s,37,55,43,37,55,61,7,85,79,115,85,1.06405,0.6,55,0.538825,0.6,37,0.649921,0.6,
323s,7,115,43,37,55,61,7,85,79,115,115,0.542599,0.6,7,0.608104,0.6,,,,
324s,43,79,43,37,55,61,7,85,79,115,43,0.484463,0.6,79,0.71966,0.6,,,,
325s,55,61,43,37,55,61,7,85,79,115,55,0.446647,0.6,61,0.665526,0.6,,,,
326s,43,55,43,37,55,61,7,85,79,115,55,0.483159,0.6,43,0.53963,0.6,,,,
327s,37,115,43,37,55,61,7,85,79,115,115,0.334548,0.6,37,0.64665,0.6,,,,
328s,61,115,43,37,55,61,7,85,79,115,61,0.442892,0.6,115,0.483931,0.6,,,,
329s,7,115,43,37,55,61,7,85,79,115,115,0.409922,0.6,,,,,,,
330s,7,115,43,37,55,61,7,85,79,115,7,1.08249,0.6,115,0.599439,0.6,7,0.87349,0.6,
331s,55,79,43,37,55,61,7,85,79,115,55,0.424684,0.6,79,0.647479,0.6,,,,
332s,55,85,43,37,55,61,7,85,79,115,55,0.58743,0.6,85,0.79667,0.6,,,,
333s,43,79,43,37,55,61,7,85,79,115,43,0.529478,0.6,79,0.773551,0.6,,,,
334s,61,115,43,37,55,61,7,85,79,115,115,0.385763,0.6,61,0.474473,0.6,,,,
335s,37,115,43,37,55,61,7,85,79,115,115,0.598726,0.6,37,0.84168,0.6,,,,
336s,43,55,43,37,55,61,7,85,79,115,43,0.357421,0.6,55,0.464558,0.6,,,,
337s,55,61,43,37,55,61,7,85,79,115,61,0.501248,0.6,55,0.559982,0.6,,,,
338s,43,79,43,37,55,61,7,85,79,115,79,0.443283,0.6,43,0.452234,0.6,,,,
